decision,reason,name,street,naics,license_description,cuisines
drop,"institution, mobile, or convenience",Easy Shop,251 17TH ST,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",Ogden Mini Mart Store No 6,1879 W 2550 S,44512,"Convenience Store ""A"" Beer with Gas Pumps Station",
drop,convenience store,Blue's C-store,1125 W 3300 S,44512,Convenient Store w/Grilled Foods & Off Premise Beer Sales,
drop,"institution, mobile, or convenience",7-eleven Store,4186 HARRISON BLVD,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",36 Market,903 36TH ST,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",Petro-mart Iii,2388 HARRISON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Top Stop Convenience Stores C21,2120 WALL AVE,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Benson Chevron,2098 HARRISON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Maverik Inc,2810 WASHINGTON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Corner Mart,2983 WASHINGTON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Superior Convenience Store,2985 LINCOLN AVE,44512,"Convenience Store ""A"" Beer with Gas Pump Station - NOT Cooking Food",
drop,"institution, mobile, or convenience",Stop & Go Market,809 28TH ST,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",Kwick Shop,803 25TH ST,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",7-eleven Store,803 24TH ST,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",Blair's Sinclair,2991 MONROE BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Common Cents Stores,3563 WALL AVE,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Sns Quick Stop,110 PATTERSON ST,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",7-eleven Store #35692 a,3405 WASHINGTON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Fast Stop,3186 WASHINGTON BLVD,44512,"Convenience Store ""A"" Beer",
drop,"institution, mobile, or convenience",Usa Mini Mart,3031 HARRISON BLVD,44512,"Convenience Store ""A"" Beer",
keep,active food license,Papa John's,1258 N WASHINGTON BLVD,7225,TAKE OUT PIZZA & DELIVERY,italian
keep,active food license,Marco's Pizza,114 N WASHINGTON BLVD,7225,Carryout / Delivery Pizza Restaurant,italian
keep,active food license,Steinys Family Sports Grill,119 N 600 W,7225,Restaurant w/Beer & Wine,american
keep,active food license,The Dragon Restaurant,303 WASHINGTON BLVD,7225,CHINESE RESTAURANT,asian
keep,active food license,Chick-fil-A,1120 WASHINGTON BLVD,7225,Chick-Fil-A Restaurant,fast-food
keep,active food license,Lolo Hawaiian BBQ,310 12TH ST,7225,HAWAIIAN RESTAURANT. QUICK SERVICE,bbq
keep,active food license,Arctic Circle,325 WASHINGTON BLVD,7225,QUICK SERVICE RESTAURANT WITH DRIVE-THROUGH.,fast-food
keep,active food license,Maria's Snack Shop,1036 CENTURY DR,7225,Retail Sales of Snacks & Drinks inside Ogden Indoor Soccer,other
keep,active food license,Del Taco,1160 WALL AVE,7225,"MEXICAN FAST FOOD, OPEN 24 HOURS A DAY.",fast-food|mexican
keep,active food license,Rock Bottom Lounge,317 WASHINGTON BLVD,7224,Social Club/Rest/D Beer/Liquor/Cabaret,other
keep,active food license,Black Bear Diner,366 12TH ST,7225,RESTAURANT / DINER,breakfast|american
