license_number,dba,business_name,street,naics,naics_desc,description,status
1021934,TOKYO STATION,TOKYO STATION LLC,2259 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,TEPPANYAKI STEAKHOUSE & SUSHI BAR W/ BEER & WINE,Active
1014220,THE SONORA GRILL,THE SONORA GRILL INC,2310 KIESEL AVE,7225,Restaurants and Other Eating Places,"Mexican Restaurnant w/Beer, Wine & Liquor",Active
1024361,SUBWAY SANDWICHES,BMG LLC,2378 KIESEL AVE,7225,Restaurants and Other Eating Places,FAST FOOD SUB SANDWICH RESTAURANT,Active
ALCOHOL002327-02-2021,O-Town Beach Club,Ogden Professional Baseball Inc,2330 LINCOLN AVE,7224,Drinking Places (Alcholic Beverages),Seasonal Bar (O-Town Beach Club) @ Lindquist Field Baseball Stadium,Active
ALCOHOL003015-10-2021,Laan Thai Restaurant LLC,Laan Thai Restaurant LLC,2327 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Thai Food Restaurant w/Beer & Wine,Active
1019710,THE GARDEN GRILLE & LOUNGE,WASHINGTON LODGING LLC,2271 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,"Restaurant W/Beer, Wine & Liquor inside Hilton Garden Inn",Active
1019709,HILTON GARDEN INN - OGDEN,WASHINGTON LODGING LLC,2271 WASHINGTON BLVD,7223,Special Food Services,"On Premise Banquet W/ Beer, Wine & Liquor",Active
GBL002070-12-2020,Original Philadelphia Cheesesteaks LLC,Original Philadelphia Cheesesteaks LLC,2054 HARRISON BLVD,7225,Restaurants and Other Eating Places,Cheesesteak Restaurant,Active
0103812,ASAEL FARR & SONS COMPANY,ASAEL FARR & SONS COMPANY,274 21ST ST,7225,Restaurants and Other Eating Places,Ice Cream Parlor,Active
1022774,COSTA VIDA,PLAYA DEL SOL OGDEN LLC,334 23RD ST,7225,Restaurants and Other Eating Places,MEXICAN FAST FOOD RESTAURANT,Active
1026208,UTOG BREWING COMPANY LLC,UTOG BREWING COMPANY LLC,2331 GRANT AVE,7225,Restaurants and Other Eating Places,Restaurant/D Beer/Wine/Liquor,Active
GBL003122-11-2021,Yu's Maple Garden Chinese Restaurant LLC,Yu's Maple Garden Chinese Restaurant LLC,2501 WALL AVE,7225,Restaurants and Other Eating Places,"Chinese Restaurant. Dine-In, Take Out and Delivery",Active
1023778,UNION GRILL,UNION GRILL LC,315 24TH ST,7225,Restaurants and Other Eating Places,"Restaurant w/Beer, Wine & Liquor",Active
1005028,THE DAILY RISE EXPRESSO LLC,THE DAILY RISE EXPRESSO LLC,2865 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,SPECIALTY COFFEE DRIVE-THRU,Active
ALCOHOL000387-03-2019,WB's Neighborhood Daily LLC,"Wanderley-Britt, Amy",455 25TH ST,7225,Restaurants and Other Eating Places,Full Service Alcohol Restaurant & Coffee Bar,Active
ALCOHOL001941-11-2020,Historic KoKoMo Club,Historic KoKoMo Inc,216 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club w/D Beer & Liquor,Active
0710010,THE CITY CLUB,THE CITY CLUB INC,264 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club (Bar) w/Restaurant/D Beer/Liquor/Cabaret,Active
1023687,WAFFLE LOVE LLC,WAFFLE LOVE LLC,109 25TH ST,7225,Restaurants and Other Eating Places,MAKE AND SELL WAFFLES,Active
1017812,GROUNDS FOR COFFEE,EMBRIEL LIMITED COMPANY,111 25TH ST,7225,Restaurants and Other Eating Places,COFFEE AND SANDWICH SHOP,Active
1019805,ALLEGED,ALLEGED LLC,205 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club w/Restaurant & Cabaret,Active
1002816,Wiseguy Comedy,Wiseguy Comedy,269 25TH ST,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Live Comedy,Active
0112311,ROOSTERS 25TH STREET BREWING COMPANY,Roosters 25th Street Brewing Company,253 25TH ST,7225,Restaurants and Other Eating Places,"Restaurant w/Beer, Wine & Liquor",Active
1002925,TONA,Tona Inc,210 25TH ST,7225,Restaurants and Other Eating Places,Sushi Bar & Grill w/Beer & Wine,Active
1019805,ALLEGED,ALLEGED LLC,201 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club w/Restaurant & Cabaret,Active
