license_number,dba,business_name,street,naics,naics_desc,description,status
1021103,ROVALIS RISTORANTE ITALIANO,ROVALIS RISTORANTE ITALIANO INC,174 25TH ST,7225,Restaurants and Other Eating Places,"Italian Restaurant/Coffice Bar w/ Beer, Wine, Liquor & Cabaret",Active
1025965,IVAN'S ICECREAM AND SNOWIES,IVAN'S ICECREAM AND SNOWIES,2665 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,"ICE CREAM CONES (SCOOPED), CORN ON THE COB ETC",Active
1016346,MI PUEBLA RESTAURANT LLC,"NEGREROS, CELINA & JOSE",2665 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,MEXICAN RESTAURANT,Active
1022796,OGDEN ECCLES CONFERENCE CENTER,WEBER COUNTY CORPORATION,2415 WASHINGTON BLVD,7223,Special Food Services,"On Premise Banquet W/ Beer, Wine & Liquor for Ogden Eccles Conference Center",Active
1022610,ROSAS CAFE LLC,Rosas Cafe,2660 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,MEXICAN RESTAURANT,Active
1018735,PEARL MILK TEA CLUB,PURSUIT OF HAPPYNESS LLC,110 25TH ST,7225,Restaurants and Other Eating Places,WOMENS BOUTIQUE / GIFT SHOP / SMOOTHIES & HAND MADE DRINKS,Active
ALCOHOL003195-12-2021,Lee's Mongolian BBQ,Lees Mongolian BBQ LLC,2866 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,"Asian Mongolian BBQ Restaurant w/Beer, Wine & Liquor",Active
ALCOHOL003679-06-2022,Jo Jo Bowls and Boba LLC,Jo Jo Bowls and Boba LLC,252 25TH ST,7225,Restaurants and Other Eating Places,"Rice Bowls, Tea and Boba Restaurant w/Beer & Wine",Active
1024224,WASATCH ROASTING COMPANY LLC,WASATCH ROASTING COMPANY LLC,2436 GRANT AVE,7225,Restaurants and Other Eating Places,COFFEE SHOP & ROASTERY,Active
ALCOHOL001283-02-2020,Unspoken,ALLEGED LLC,211 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club/Bar,Active
ALCOHOL001283-02-2020,Unspoken,ALLEGED LLC,211 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club/Bar,Active
