"OAK HILLS ELEMENTARY CAFETERIA","1235 600 SOUTH                BOUNTIFUL UT 84010",
"ODYSSEY ELEMENTARY CAFETERIA","2050 1955 WEST                WOODS CROSS UT 84087",
"ORCHARD ELEMENTARY CAFETERIA","205 CENTER                NORTH SALT LAKE UT 84054",
"PARKSIDE ELEMENTARY CAFETERIA","2262 1500 WEST                CLINTON UT 84015",
"READING ELEMENTARY CAFETERIA","360 2025 NORTH                CENTERVILLE UT 84014",
"VISTA EDUCATION CAMPUS CAFETERIA","97 200 EAST                FARMINGTON UT 84025",
"CANYON CREEK ELEMENTARY CAFETERIA","755 1100 WEST                FARMINGTON UT 84025",
"KAY'S CREEK ELEMENTARY CAFETERIA","2260 ISLAND                KAYSVILLE UT 84037",
"ISLAND VIEW ELEMENTARY CAFETERIA","385 4500 West                WEST POINT UT 84015",
"HUNGRY HOWIE'S","1917 1800 NORTH                CLINTON UT 84015",
"HUNGRY HOWIE'S","14 FORT                LAYTON UT 84041",
"LAYNE'S CHICKEN FINGERS","846 1700                Clearfield UT 84015",
"ALOHA GOLF AND COFFEE LOUNGE LLC","21 Gentile                Layton UT 84041",
"EMPANADA FACTORY","1268 500 West                Woods Cross UT 84087",
"TODDS CARE CENTER","1635 Angel                Layton UT 84041",
"HILL FIELD ELEMENTARY CAFETERIA","389 1000 EAST                CLEARFIELD UT 84015",
"BF ALEHOUSE LLC DBA BOUNTIFUL WINGERS","255 500                Bountiful UT 84010",
"SCOOPS & BEANS","3077 Highway 89                Bountiful UT 84010",
"SNELGROVE ICE CREAM","300 Parrish                Centerville UT 84014",
"TASTE OF LOUISIANA UTAH","1080 300                Clearfield UT 84015",
"BAYA BAR","2146 Main                Layton UT 84041",
"WETZEL'S PRETZELS","221 Parrish                Centerville UT 84014",
"GROUNDS FOR COFFEE","1480 Highway 89                Layton UT 84040",
"HOLY CROSS DAVIS","1600 Antelope                Layton UT 84041",
"COLD STONE CREAMERY/ROCKY MOUNTAIN CHOCOLATE FACTORY BOUNTIFUL","273 500                Bountiful UT 84010",
"HIBACHI HOUSE","1912 1800                Clinton UT 84015",
"FAST STOP 1106","14 1700                Clearfield UT 84015",
"PEACOCK PARLOUR","375 Lagoon                Farmington UT 84025",
"JACK IN THE BOX","10 FAIRFIELD                LAYTON UT 84041",
"FLY HIGH WOODS CROSS LLC","2119 1200                Woods Cross UT 84087",
"UTAH COMPANY GRILL","3111 750                Layton UT 84041",
"MI TIENDITA LLC","1095 Main                Layton UT 84041",
"MI TIENDITA LLC","1095 Main                Layton UT 84041",
"ASIAN BUFFET LAYTON LLC","877 Hill Field                Layton UT 84041",
"QUENCH IT!","1863 700                Syracuse UT 84075",
"LUCK THAI","926 1700                Clearfield UT 84015",
"MRDELICIOUS2","1137 1700                Syracuse UT 84075",
"SOUTH DAVIS RECREATION CENTER","550 200                Bountiful UT 84010",
"HANDEL'S HOMEMADE ICE CREAM","2468 Highway 89                Woods Cross UT 84087",
"THE FORT CUISINE OF INDIA","1600 Woodland Park                Layton UT 84041",
"MILK BARN CREAMERY","330 Market Place                Centerville UT 84014",
"CARMELITAS","301 State                Clearfield UT 84015",
"WHOLLY ROLLY","1525 Main                Bountiful UT 84010",
"ARCTIC CIRCLE #106","UT",
"MONUMENT HEALTHCARE STONECREEK","523 Main                Bountiful UT 84010",
"ANNIE'S CREPES AND CAKES CAFE","UT",
"RAMEN GARDEN CLEARFIELD INC","810 700                Clearfield UT 84015",
"RAMEN GARDEN SYRACUSE","2058 1700                Syracuse UT 84075",
"HOUSTON TX HOT CHICKEN","254 University                Farmington UT 84025",
"HOLY CREPE","398 Pages                Centerville UT 84014",
"CHICK-FIL-A","440 Station Pkwy                Farmington UT 84025",
"BENCHMARK LEARNING CENTER","780 2000                Syracuse UT 84075",
"STAR CAFE","1540 State                Clearfield UT 84015",
"RAMBLIN ROADS RESTAURANT","802 1425                Layton UT 84041",
"LEGACY PREPARATORY ACADEMY (K-6) CAFETERIA","2214 1250                Woods Cross UT 84087",
"WALLACE STEGNER ACADEMY","160 2525 North                Sunset UT 84015",
"JACK IN THE BOX #1326","386 500 SOUTH                BOUNTIFUL UT 84010",
"ANTOJITOS JALISENSES","1933 2000                Clinton UT 84015",
"ON THE HOOK FISH AND CHIPS - COMMISSARY","570 Taylor                North Salt Lake UT 84054",
"MAVERIK, INC. #507","UT",
"POTBELLY SANDWICH SHOP","220 Fort                Layton UT 84041",
"MAVERIK - FARMINGTON","1172 PARK                FARMINGTON UT 84802-5",
"BAYA BAR WEST POINT","279 2000                West Point UT 84015",
"FIRST WATCH","991 Hill Field                Layton UT 84041",
"WESTERN SPORTS PARK","1049 CLARK                FARMINGTON UT 84025",
"OKA RAMEN JAPANESE RESTAURANT","1492 800                Woods Cross UT 84087",
"ANTELOPE INN & SUITS","572 Main                Clearfield UT 84015",
"GREEN CHILE HOUSE","386 Redwood                North Salt Lake UT 84054",
"THE PEAKS OF CLINTON","1404 2000                Clinton UT 84015",
"MOD PIZZA","2035 Harris                Layton UT 84041",
"TWISTED SUGAR","817 1700                Syracuse UT 84075",
"CLINTON ELEMENTARY CAFETERIA","UT",
"PACOS TACOS OF FARMINGTON","35 100                Farmington UT 84025",
"JOHN VOLKEN ACADEMY","1130 Center                North Salt Lake UT 84054",
"SPROUTS","155 500 SOUTH                BOUNTIFUL UT 84010",
"MOD PIZZA","2577 Wildcat                Woods Cross UT 84010",
"PIZZA PIE CAFE","1803 1800                Clinton UT 84015",
"FIIZ","121 East Promontory                Farmington UT 84025",
"FIIZ","104 Main                Centerville UT 84014",
"DAIRY QUEEN OF LAYTON","816 Main                Layton UT 84041",
"APPLE VILLAGE ASSISTED LIVING","2600 Hobbs View                Layton UT 84040",
"APPLE TREE ASSISTED LIVING","565 300                Kaysville UT 84037",
"HORIZON JR HIGH CAFETERIA","UT",
"TACOS LOPEZ","1650 500                Woods Cross UT 84087",
"FIIZ (BOUNTIFUL)","UT",
"FIIZ (BOUNTIFUL)","45 400                Bountiful UT 84010",
"KPH LAYTON LLC","UT",
"KPH LAYTON LLC","423 1425                Layton UT 84041",
"MAVERIK, INC. #197","UT",
"KITCHEN EIGHTY EIGHT","260 200                Kaysville UT 84037",
"BEST GREEK BROILER LLC","2056 Hillfield                Layton UT 84041",
"VERO Y SU SAZON LLC","415 1425                Layton UT 84041",
"MANGO LOVERS","1201 Hill Field                Layton UT 84041",
"ASPEN ALCOVE CLINTON LLC","1748 1800                Clinton UT 84015",
"KICKIN SEAFOOD RESTAURANT (DBA: WU'S CRAB)","1120 Main                Layton UT 84041",
"THE GREAT GREEK","515 Ring                Layton UT 84041",
"PAR 5 GRILL DBA LAKESIDE GOLF COURSE","1201 1100                West Bountiful UT 84087",
"PHEASANT VIEW","1242 Pheasant View                Layton UT 84041",
"BEANS AND BREWS","1338 State                Clearfield UT 84015",
"SOUTH DAVIS RECOVERY","25 200                Bountiful UT 84010",
"BETOS MEXICAN FOOD (DON ISIDRO MEXIVAN FOOD)","504 station parkway                farmington UT 84054",
"BURGER KING 7837","803 Main                Layton UT 84041",
"SUBWAY#32711","1282 Highway 89                Farmington UT 84025",
"CHICK-FIL-A","1201 Hill Field                Layton UT 84041",
"LAGOON-PRETZEL HAUS-SNOWIE CART","375 Lagoon                Farmington UT 84025",
"SANTANA'S MARKET","245 Main                Clearfield UT 84015",
"CAFE TRANG BISTRO","234 500                West Bountiful UT 84010",
"HUG-HES AMERICAN KITCHEN (COMMISSARY)","2290 640                West Bountiful UT 84087",
"LUCKY SLICE PIZZA","135 Main                Bountiful UT 84010",
"SYRACUSE ARTS ACADEMY - SOUTH (K-6) CAFETERIA","2211 3060 South                Syracuse UT 84075",
"808 IN ANY STATE","1345 1525                Syracuse UT 84075",
"BURGER KING 10511","2025 Main                Layton UT 84041",
"WESTERN SPORTS PARK CONCESSIONS STAND","25 Sports Park                Farmington UT 84025",
"FIIZ DRINKS","54 100                Bountiful UT 84010",
"FRESH MONKEE","210 Fort                Layton UT 84041",
"KANGAROO ZOO","395 Redwood                North Salt Lake UT 84054",
"BEEHIVE BITEZ","125 East Promontory                Farmington UT 84025",
"LA SABROSITA MARKET","273 500                Bountiful UT 84010",
"BEEHIVE HOMES OF LAYTON","59 King                Layton UT 84041",
"GREEK GARDEN III","926 1700                Clearfield UT 84015",
"EAGLERIDGE TENNIS AND SWIM CLUB","711 Parkway Dr                North Salt Lake UT 84054",
"THE GARDEN GATE EVENT CENTER","197 500                Bountiful UT 84010",
"COLOMBIAN BAKER","729 king ST                layton UT 84041",
"DIAMOND DETOX LLC","770 Main                Kaysville UT 84037",
"COSTCO","3151 1700                Syracuse UT 84075",
"KAYSVILLE CREAMERY","1 Main Street                Kaysville UT 84037",
"DISCOVERY COVE","1040 950                Centerville UT 84014",
"THIRST","273 500                Bountiful UT 84010",
"BEANS & BREWS COFFEE HOUSE","1731 2000                Clinton UT 84015",
"ROYAL JADE CHINESE GOURMET","70 Fairfield                layton UT 84041",
"THIRST","1252 Highway 89                Farmington UT 84025",
"KING’S MARKET CLEARFIELD/KRISPY KRUNCHY CHICKEN","101 Main Street                Clearfield UT 84403",
"DAKINE GRINDZ LLC","1868 HILL FIELD                LAYTON UT 84041",
"THE SIGNATURE COFFEE BAR","210 Center                North Salt Lake UT 84054",
"FIVE GUYS BURGERS AND FRIES","1731 2000                Clinton UT 84015",
"DSD ELEMENTARY SCHOOL TWO CAFETERIA","UT",
"PIZZA PIE CAFE LAYTON UTAH","1938 Woodland Park                Layton UT 84041",
"CHRIS' CAFE","56 1700                Clearfield UT 84015",
"IDELLA'S SOUTHERN BBQ","612 main                kaysville UT 84037",
"PALA KAI SHAVED ICE","230 200 N                Kaysville UT 84037",
"SHEARERLY SIMPLE SHAVE ICE","2695 1700 S                Syracuse UT 84075",
"UNDER THE BOARDWALK SHAVED ICE","876 2700 S                Syracuse UT 84075",
"SNO DELICIOUS","725 Redwood                North Salt Lake UT 84054",
