facility_id,name,street,city_raw,city,zip
885E17BAA8F47E7086257688006150D0,COUNTRY VIEW ELEMENTARY - COUNTRY VIEW ELEMENTARY CAFETERIA,4650 West 4800 South,HOOPER,Hooper,84315
4D77FE3D003A87CF86258BDA007E57B0,CR SODAS,643 S 4100 W,Ogden,Ogden,84404
3CFE6C22673EFF75862576880061311E,CRESTWOOD CARE CENTER,3665 South BRINKER AVE,OGDEN,Ogden,84403
4BD98BEEEB531145872578D1007846BF,Criddle's Cafe,350 E 37th Street,South Ogden,South Ogden,84405
0B88AA0799FDA3CD862588A3005472DD,CROSSROADS CHRISTIAN FELLOWSHIP,789 2nd Street,Ogden,Ogden,84404
269FF10EE584192087257B3500751915,Crossroads Christian Fellowship,6545 Combe Rd.,Uintah,Uintah,84403
25502AA04A3C010186258773004FED6F,CUPBOP,141 12th Street,Ogden,Ogden,84404
9C8933B14B8258FD862589C90056527C,CUPBOP ROY,6040 South 3500 West Unit 102,Roy,Roy,84067
ECC2B2A4BE38D7B386257688006139C5,D & B CATERING - KIMBERLY CLARK - D & B CATERING - Kimberly Clark,2010 North RULON WHITE BLVD,OGDEN,Ogden,84404
C787E1EDC6B1739C862586B6005F866A,"D & B CATERING, INC.",1000 W 3300 so.,OGDEN,Ogden,84401
78D016148BECEA118625832100579B8A,Daily Rise Downtown,2314 Washington,Ogden,Ogden,84401
7FA93CD278DCC7468625768800611AB1,DAR'S,240 WASHINGTON BLVD,OGDEN,Ogden,84404
ED0E3AC58D613FEF86258DF400564D11,DAVE'S HOT CHICKEN,4212 Riverdale Rd.,Rivrdale,Riverdale,84405
7BF52BCE26A17F0D8725792C007BAE9C,DAVINCI ACADEMY 7-12 - DaVinci Academy Concession,2033 GRANT AVENUE,OGDEN,Ogden,84401
9DF50B636168A66586258DE70069409F,DAWN'S BAKERY - COMMISSARY,2563 MONROE BLVD.,OGDEN,Ogden,84401
6608CE927CBCB38E86258DC0004FC0F9,DAWN'S BAKERY - MOBILE - DAWN'S BAKERY,2563 MONROE BLVD.,OGDEN,Ogden,84401
EF66AD606F4A1797872582C6006F838A,Day Break Senior Services,1351 Valley Drive,Ogden,Ogden,84401
A57749CEF4DF2C9E8625768800618D45,DEB'S SPICY PIE,113 North COMMERCIAL,MORGAN,Morgan,84050
2140617297A7F0528625768800616B0F,DEL TACO,4137 RIVERDALE RD,RIVERDALE,Riverdale,84405
75F0F1944A177AB48625768800612543,DEL TACO,4436 South 1900 West,ROY,Roy,84067
4F75F40EEB3394DE8625768800612524,DEL TACO #271,1160 South WALL AVE,OGDEN,Ogden,84404
0DBAFD63A50E4D6C87257799005F5191,Denny's Restaurant #8568 - Denny's Restaurant,1172 W 2100 S,West Haven,West Haven,84401
236F80AB097B6D7987257FF000721FA9,Denny's #9281,4029 Riverdale Road,Riverdale,Riverdale,84405
D85536E8F7948BF6062579A700735FF2,DEPOT LEARNING SPOT - DEPOT DAY CARE,640 W. 1100 S.Unit 8,Ogden,Ogden,84404
BD2759C69EBEA91A8625899C0050933F,DOMINO'S,420 North 325 East,Harrisville,Harrisville,84404
C6D50A1F259707A88625896E007A1537,DOMINO'S,2274 N 400 E Unit 202,North Ogden,North Ogden,84414
383AF7251A2F02C9862588C60051DB5F,DOMINO'S #7508,1735 E Skyline Dr. Unit 1,South Ogden,South Ogden,84405
D7FAB6C4F3F65FE8862588C600538B75,DOMINO'S #7522,2060 Harrison Blvd.,Ogden,Ogden,84401
415CBFE83C057FC7862588C6006CB1E6,DOMINO'S #7526,5619 South 3500 West,Roy,Roy,84067
72520BAD4C170348862588C4006E91B5,DOMINO'S #7538,2686 N 1850 W,Farr West,Farr West,84404
5559DA91FF4FD9AE862588C6004F8A0A,DOMINO'S #7560,3601 Washington Blvd.,South Ogden,South Ogden,84403
1D106EC430BDA1EB86258947006AA3DF,DON CARLOS STREET TACOS 2,3511 Harrison Blvd.,Ogden,Ogden,84403
1B921C863538EFC98625768800612B5E,DRAGON RESTAURANT,303 South WASHINGTON BLVD,OGDEN,Ogden,84404
2D57BC55BD39DBB686258D9B007DD8D3,DUNKIN',4235 South Hunter Drive,West Haven,West Haven,84401
FECE3F3098728B1386258751006523F0,DUTCH BROS. COFFEE UT-0701,4177 Riverdale Road,Riverdale,Riverdale,84405
BF623F0C1EBC1AB9862587E4005B311A,DUTCH BROS. COFFEE UT0703 - DUTCH BROS. COFFEE,316 12TH STREET,OGDEN,Ogden,84404
F45E69FF320ADB51862588A9006AD083,DUTCH BROS. COFFEE UT0802,1680 West 2700 North,Pleasant View,Pleasant View,84404
17264D580925C9148625768800613898,DYLAN'S,981 East 12TH ST,OGDEN,Ogden,84403
FE5CB66DF79E543286257688006164F6,EAGLE LAKE GOLF COURSE,2885 West 5200 South,ROY,Roy,84067
22E8A6B39922CBAF8625768800612EDE,EAGLES LODGE 2472 -KITCHEN/BAR,975 South WALL AVE,OGDEN,Ogden,84401
627DD25C6AA1B1638625768800611C8C,EAST RIDGE ELEMENTARY - EAST RIDGE ELEMENTARY CAFETERIA,1330 E. 9TH ST,OGDEN,Ogden,84404
BFFAB6C4AB492ABC86258814006724D1,EASTERN WINDS,3740 Washington Blvd.,South Ogden,South Ogden,84403
0E476D9F8BCD2DEF8625768800612C9F,EATS OF EDEN,2595 North HWY 162,EDEN,Eden,84310
C5201B4ECAFC769D87258458004E145B,ECC Preschool OGDEN SCHOOL DISTRICT BLDG 7 - OGDEN SCHOOL DISTRICT BLDG 7,1950 MONROE BLVD Unit 7,OGDEN,Ogden,84401
C3F7DE1B3771A62386258A2E00776F5E,Eden Coffee Cocoa and Juicery,2405 N Highway 158,Eden,Eden,84310
2BB2E44DC89422E786258BB00053FA7C,EINSTEIN BROS BAGELS,1339 Wall Ave.,Ogden,Ogden,84404
A77A824A1160132886258B5D004F01FD,EINSTEIN BROS BAGELS,1738 W 2700 N,Pleasant View,Pleasant View,84404
B18307B68E79013D8625768800613C48,EINSTEIN BROS. BAGEL #1392,4387 South HARRISON BLVD,OGDEN,Ogden,84403
40E93FD0CCA17DD187257E98006FC98A,El Changarro Loco,3037 Washington Blvd.,Ogden,Ogden,84401
2A4E2AD2FE9C8E6486258DA8007703BB,EL FAMOUS BETO'S MEXICAN FOOD,1855 SKYLINE DR.,SOUTH OGDEN,South Ogden,84401
4208CA22991563958625768800612F33,EL MONTE CAFE,1300 East VALLEY DR,OGDEN,Ogden,84404
53B720EF2F084F288625819900527A1C,"El Paisa Grill Franchise, LLC",460 W 12th St.,Ogden,Ogden,84404
786109F34F9E01D7862581C60078F94D,El Paraiso Taco Cart - El Paraiso Taco Cart #2,2665 Wall Ave,Ogden,Ogden,84401
D4B87E7A423C42D2862576880061524A,EL PARAISO TACOS CART,26TH & WASHINGTON,OGDEN,Ogden,84401
FBFF15CC1EE461638625768800616D6A,EL PARAISO TAQUERIA Y TORTAS - TAQUERIA Y TORTAS EL PARAISO,2665 WALL AVENUE,OGDEN,Ogden,84401
6DE0B5B98C6A4E9E862582E4005BDF47,El Patron,3139 Washington Blvd.,Ogden,Ogden,84401
